상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
슬림핏 가디건,"208,000",무신사,3028,https://example.com/무신사/image0.jpg,185,캐주얼,상의,린넨,베이지,가을,2025-03-11
프리미엄 청바지,"252,000",무신사,4474,https://example.com/무신사/image1.jpg,236,모던,아우터,데님,화이트,봄,2025-06-02
슬림핏 미니 원피스,"202,000",무신사,1261,https://example.com/무신사/image2.jpg,735,스포티,아우터,린넨,베이지,여름,2025-04-15
클래식 니트,"122,000",무신사,1305,https://example.com/무신사/image3.jpg,666,클래식,원피스,울,블루,겨울,2025-05-15
빈티지 코트,"144,000",무신사,3212,https://example.com/무신사/image4.jpg,65,모던,원피스,실크,베이지,겨울,2025-03-11
슬림핏 블레이저,"99,000",무신사,562,https://example.com/무신사/image5.jpg,827,스포티,아우터,폴리에스터,레드,가을,2025-05-23
베이직 미니 원피스,"174,000",무신사,2497,https://example.com/무신사/image6.jpg,267,미니멀,아우터,린넨,그레이,여름,2025-03-20
트렌디 청바지,"232,000",무신사,3728,https://example.com/무신사/image7.jpg,703,빈티지,아우터,폴리에스터,레드,가을,2025-05-02
트렌디 미디 원피스,"83,000",무신사,4777,https://example.com/무신사/image8.jpg,957,스포티,원피스,린넨,베이지,가을,2025-03-06
클래식 블라우스,"155,000",무신사,2319,https://example.com/무신사/image9.jpg,55,모던,원피스,데님,그레이,여름,2025-04-14
트렌디 셔츠,"119,000",무신사,2559,https://example.com/무신사/image10.jpg,672,스트릿,아우터,폴리에스터,블랙,여름,2025-04-18
프리미엄 와이드팬츠,"195,000",무신사,3885,https://example.com/무신사/image11.jpg,203,모던,상의,니트,브라운,사계절,2025-03-10
베이직 스커트,"148,000",무신사,1053,https://example.com/무신사/image12.jpg,669,스트릿,하의,폴리에스터,그레이,여름,2025-03-19
클래식 패딩,"136,000",무신사,4133,https://example.com/무신사/image13.jpg,839,클래식,하의,니트,네이비,겨울,2025-03-06
베이직 스커트,"131,000",무신사,4150,https://example.com/무신사/image14.jpg,987,빈티지,원피스,레이온,화이트,가을,2025-05-04
빈티지 면바지,"63,000",무신사,2716,https://example.com/무신사/image15.jpg,549,러블리,원피스,린넨,레드,겨울,2025-05-03
클래식 셔츠 원피스,"221,000",무신사,4646,https://example.com/무신사/image16.jpg,234,클래식,상의,폴리에스터,블랙,봄,2025-03-23
클래식 셔츠 원피스,"87,000",무신사,2611,https://example.com/무신사/image17.jpg,586,모던,아우터,니트,베이지,여름,2025-03-09
클래식 면바지,"290,000",무신사,4629,https://example.com/무신사/image18.jpg,819,클래식,원피스,실크,그레이,봄,2025-05-24
프리미엄 니트,"162,000",무신사,2422,https://example.com/무신사/image19.jpg,132,모던,원피스,면,브라운,봄,2025-05-06
베이직 자켓,"194,000",무신사,2873,https://example.com/무신사/image20.jpg,929,클래식,원피스,면,카키,여름,2025-04-07
베이직 셔츠,"66,000",무신사,3352,https://example.com/무신사/image21.jpg,854,빈티지,상의,린넨,블루,여름,2025-03-21
베이직 청바지,"47,000",무신사,3531,https://example.com/무신사/image22.jpg,936,빈티지,하의,울,그레이,봄,2025-04-04
오버핏 가디건,"259,000",무신사,3155,https://example.com/무신사/image23.jpg,993,러블리,원피스,린넨,블루,가을,2025-05-21
트렌디 셔츠 원피스,"45,000",무신사,1477,https://example.com/무신사/image24.jpg,969,스트릿,원피스,폴리에스터,화이트,사계절,2025-05-26
빈티지 미디 원피스,"278,000",무신사,4961,https://example.com/무신사/image25.jpg,225,미니멀,원피스,면,블랙,가을,2025-04-10
프리미엄 셔츠 원피스,"116,000",무신사,711,https://example.com/무신사/image26.jpg,311,캐주얼,상의,실크,카키,겨울,2025-03-22
오버핏 맥시 원피스,"195,000",무신사,1625,https://example.com/무신사/image27.jpg,249,러블리,아우터,울,화이트,가을,2025-03-07
트렌디 티셔츠,"152,000",무신사,1746,https://example.com/무신사/image28.jpg,715,스포티,원피스,실크,그레이,봄,2025-03-08
트렌디 코트,"200,000",무신사,3114,https://example.com/무신사/image29.jpg,100,캐주얼,하의,폴리에스터,네이비,사계절,2025-05-28
오버핏 후드,"138,000",무신사,4119,https://example.com/무신사/image30.jpg,876,스트릿,원피스,니트,블루,여름,2025-05-20
베이직 패딩,"297,000",무신사,1382,https://example.com/무신사/image31.jpg,599,클래식,하의,린넨,레드,여름,2025-04-23
프리미엄 점퍼,"98,000",무신사,3443,https://example.com/무신사/image32.jpg,431,클래식,상의,울,블랙,사계절,2025-03-28
클래식 셔츠 원피스,"251,000",무신사,3102,https://example.com/무신사/image33.jpg,942,캐주얼,하의,린넨,카키,겨울,2025-05-20
클래식 니트,"165,000",무신사,2459,https://example.com/무신사/image34.jpg,56,캐주얼,하의,폴리에스터,화이트,가을,2025-06-01
오버핏 미디 원피스,"53,000",무신사,3534,https://example.com/무신사/image35.jpg,815,캐주얼,아우터,데님,블루,여름,2025-03-10
슬림핏 맥시 원피스,"256,000",무신사,4058,https://example.com/무신사/image36.jpg,540,클래식,하의,실크,베이지,가을,2025-03-06
슬림핏 블레이저,"236,000",무신사,1814,https://example.com/무신사/image37.jpg,715,미니멀,상의,폴리에스터,네이비,겨울,2025-05-10
오버핏 티셔츠,"146,000",무신사,4198,https://example.com/무신사/image38.jpg,690,빈티지,상의,니트,화이트,가을,2025-05-31
트렌디 코트,"190,000",무신사,1098,https://example.com/무신사/image39.jpg,777,스포티,원피스,레이온,블루,봄,2025-05-08
베이직 청바지,"287,000",무신사,1968,https://example.com/무신사/image40.jpg,875,클래식,원피스,면,레드,봄,2025-04-30
빈티지 패딩,"245,000",무신사,2436,https://example.com/무신사/image41.jpg,404,빈티지,하의,린넨,블루,봄,2025-04-30
오버핏 셔츠 원피스,"150,000",무신사,922,https://example.com/무신사/image42.jpg,290,모던,하의,폴리에스터,베이지,여름,2025-05-27
클래식 숏팬츠,"135,000",무신사,4439,https://example.com/무신사/image43.jpg,380,미니멀,아우터,면,레드,겨울,2025-03-20
빈티지 미니 원피스,"252,000",무신사,538,https://example.com/무신사/image44.jpg,883,클래식,아우터,실크,화이트,여름,2025-04-20
빈티지 스커트,"271,000",무신사,1737,https://example.com/무신사/image45.jpg,385,빈티지,원피스,실크,화이트,봄,2025-05-23
오버핏 자켓,"146,000",무신사,633,https://example.com/무신사/image46.jpg,698,미니멀,하의,린넨,블랙,여름,2025-04-26
프리미엄 청바지,"155,000",무신사,2666,https://example.com/무신사/image47.jpg,474,클래식,원피스,데님,블랙,사계절,2025-03-13
프리미엄 맨투맨,"184,000",무신사,2566,https://example.com/무신사/image48.jpg,260,모던,아우터,폴리에스터,베이지,봄,2025-03-21
오버핏 자켓,"163,000",무신사,4252,https://example.com/무신사/image49.jpg,448,미니멀,하의,면,레드,사계절,2025-04-27
